Food,Capric acid,Lauric acid,Myristic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic Acid,Linolenic Acid,Stearidonic acid,Eicosenoic acid,Arachidonic acid,Eicosapentaenoic acid,Erucic acid,Docosapentaenoic acid,Docosahexaenoic acid,Butyric acid,Caproic acid,Caprylic acid,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Dietary Fiber,"Folate, DFE","Folate, food",Folate,Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,Vitamin A,Vitamin B12,"Vitamin B-12, added",Vitamin B6,Vitamin C,Vitamin D,Vitamin E,"Vitamin E, added",Vitamin K,Water,Zinc
"Pears, canned in syrup ",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"Pears, canned in juice",0.0,0.0,0.0,0.003,0.0,0.0,0.013,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,12.94,0,3.0,0.0,3.4,0.053,0,50.0,0.014,0.015,0.004,1.6,1.0,1.0,1.0,0,0.29,34,0,7.0,0.2,12.0,96.0,0.34,0.0,0.011,0.0,4.0,9.7,0,0.011,0.07,0.0,0.0,0.0,0.014,1.6,0.0,0.08,0.0,0.3,86.47,0.09
"frozen mixed vegetables: broccoli, cauliflower, and carrots",0.303,0.351,1.148,3.207,0.246,1.221,2.905,0.466,0.041,0.0,0.02,0.018,0.003,0.0,0.006,0.0,0.247,0.202,0.127,0.0,0,107.0,4.73,0,22.0,35.0,18.7,0.009,0,123.0,3.32,0.554,7.032,0.0,3.0,3.0,3.0,0,0.05,0,0,10.0,0.109,95.0,132.0,3.13,95.0,0.194,3.2,61.0,4.13,0,0.03,10.39,97.0,0.19,0.0,0.05,0.9,0.0,0.25,0.0,1.3,81.24,0.39
"Lettuce, romaine, heads",0.0,0.0,0.0,0.026,0.002,0.003,0.006,0.034,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.0,2.23,0,1987.0,0.0,8.4,0.016,0,13.0,0.008,0.117,0.029,1.1,73.0,73.0,73.0,0,1.24,1223,0,13.0,0.357,33.0,238.0,1.35,0.0,0.062,0.6,5.0,0.94,0,0.057,0.22,166.0,0.0,0.0,0.082,3.7,0.0,0.18,0.0,102.3,95.63,0.2
whole wheat bread ,0.0,0.0,0.001,0.13,0.026,0.008,0.221,0.709,0.037,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,55.89,0,4.0,0.0,26.5,0.29,0,262.0,0.247,0.747,0.147,6.1,35.0,35.0,35.0,0,3.06,53,0,69.0,2.84,180.0,170.0,9.8,0.0,0.08,44.0,527.0,2.87,0,0.339,1.71,0.0,0.0,0.0,0.265,0.0,0.0,0.61,0.0,1.4,30.6,1.52
"Peaches, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
"Spinach, frozen ",0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,129.0,4.21,0,7035.0,0.0,22.1,0.144,0,29.0,0.0,0.082,0.041,2.9,145.0,145.0,145.0,0,1.89,12651,0,75.0,0.507,49.0,346.0,3.63,0.0,0.224,6.0,74.0,0.65,0,0.094,0.57,586.0,0.0,0.0,0.172,5.5,0.0,2.9,0.0,372.0,90.17,0.56
Nectarines,0.0,0.0,0.0,0.023,0.002,0.002,0.086,0.111,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,10.55,0,150.0,0.0,6.2,0.086,98,44.0,0.088,0.113,0.025,1.7,5.0,5.0,5.0,0,0.28,130,0,9.0,1.125,26.0,201.0,1.06,0.0,0.027,0.0,0.0,7.89,0,0.034,0.32,17.0,0.0,0.0,0.025,5.4,0.0,0.77,0.0,2.2,87.59,0.17
"Pomegranate, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Peach, canned in juice",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"artichoke, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Potatoes, french fries",0.021,0.006,0.015,0.607,0.01,0.147,1.824,1.266,0.235,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0,12.0,25.55,0,3.0,0.0,23.7,0.104,0,158.0,1.874,1.502,0.848,2.0,23.0,23.0,23.0,0,0.57,16,0,24.0,2.077,87.0,478.0,2.75,0.0,0.032,0.4,324.0,0.37,0,0.13,5.48,0.0,0.0,0.0,0.261,8.6,0.0,0.39,0.0,7.4,64.44,0.35
"broccoli, frozen ",0.0,0.0,0.0,0.039,0.0,0.005,0.02,0.031,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56.0,4.78,20,610.0,0.0,14.9,0.038,1,26.0,0.02,0.136,0.044,3.0,67.0,67.0,67.0,0,0.81,1120,0,18.0,0.47,50.0,212.0,2.81,0.0,0.096,2.8,24.0,1.35,0,0.053,0.29,52.0,0.0,0.0,0.13,56.4,0.0,1.22,0.0,81.1,91.46,0.48
celery ,0.02,0.02,0.02,1.29,0.24,0.39,15.45,3.52,0.2,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1767.0,41.35,0,31.0,0.0,24.7,1.37,0,392.0,15.93,3.72,2.19,11.8,10.0,10.0,10.0,0,44.9,0,0,440.0,3.06,547.0,1400.0,18.07,0.0,0.29,12.1,160.0,0.67,0,0.34,25.27,3.0,0.0,0.0,0.89,17.1,0.0,1.07,0.0,0.0,6.04,6.93
"Fruit cocktail, in juice",0.07,0.061,0.401,1.159,0.137,0.438,0.899,0.088,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.027,0.031,0.0,0,53.0,4.61,0,14.0,13.0,17.5,0.04,0,97.0,1.036,0.124,2.311,0.2,11.0,11.0,11.0,0,0.16,0,0,7.0,0.15,113.0,90.0,10.69,37.0,0.142,7.7,344.0,2.38,0,0.033,3.85,38.0,0.53,0.0,0.068,1.4,0.0,0.04,0.0,0.4,79.64,0.33
