Food,Capric acid,Lauric acid,Myristic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic Acid,Linolenic Acid,Stearidonic acid,Eicosenoic acid,Arachidonic acid,Eicosapentaenoic acid,Erucic acid,Docosapentaenoic acid,Docosahexaenoic acid,Butyric acid,Caproic acid,Caprylic acid,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Dietary Fiber,"Folate, DFE","Folate, food",Folate,Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,Vitamin A,Vitamin B12,"Vitamin B-12, added",Vitamin B6,Vitamin C,Vitamin D,Vitamin E,"Vitamin E, added",Vitamin K,Water,Zinc
"Papaya, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
Watermelon,0.001,0.001,0.0,0.008,0.0,0.006,0.037,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,7.55,0,303.0,0.0,4.1,0.042,78,30.0,0.037,0.05,0.016,0.4,3.0,3.0,3.0,0,0.24,8,4532,10.0,0.178,11.0,112.0,0.61,0.0,0.021,0.4,1.0,6.2,0,0.033,0.15,28.0,0.0,0.0,0.045,8.1,0.0,0.05,0.0,0.1,91.45,0.1
low-fat milk,0.004,0.002,0.017,0.378,0.006,0.399,0.455,0.05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.001,0.002,0.0,2,184.0,33.09,0,135.0,7.0,19.6,0.103,0,147.0,0.462,0.052,0.81,6.6,4.0,4.0,4.0,0,0.53,1,0,20.0,0.126,83.0,316.0,4.41,60.0,0.129,2.2,92.0,22.06,69,0.023,1.47,71.0,0.14,0.0,0.023,0.9,0.1,0.2,0.0,0.6,61.43,0.43
whole milk ,0.582,0.69,2.189,5.331,0.597,2.442,5.649,0.393,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805,0.446,0.257,0.0,0,505.0,2.19,0,57.0,79.0,15.4,0.011,0,300.0,6.573,0.765,13.152,0.0,7.0,7.0,7.0,0,0.44,0,0,20.0,0.104,354.0,76.0,22.17,174.0,0.283,17.0,627.0,1.03,0,0.03,22.35,179.0,2.28,0.0,0.037,0.0,0.4,0.19,0.0,2.3,50.01,2.92
white flour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,0.73,0,0.0,0.0,1.1,0.023,0,52.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0,0.08,0,0,11.0,0.105,15.0,163.0,10.9,0.0,0.439,20.0,166.0,0.71,0,0.004,0.17,0.0,0.09,0.0,0.005,0.0,0.0,0.0,0.0,0.0,87.57,0.03
Bananas,0.0,0.0,0.001,0.025,0.002,0.001,0.007,0.012,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,15.3,17,17.0,0.0,4.1,0.04,0,56.0,0.01,0.019,0.035,1.6,6.0,6.0,6.0,0,0.2,0,0,10.0,0.183,7.0,88.0,0.4,0.0,0.031,0.6,0.0,0.38,0,0.012,0.1,2.0,0.0,0.0,0.115,16.7,0.0,0.6,0.0,0.0,84.0,0.06
"Pineapple, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Cantaloupe, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
green cabbage ,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.058,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39.0,6.29,15,197.0,0.0,22.6,0.03,17,27.0,0.0,0.116,0.039,2.2,24.0,24.0,24.0,0,0.67,526,0,20.0,0.361,41.0,146.0,1.2,0.0,0.079,0.1,7.0,1.88,0,0.026,0.17,18.0,0.0,0.0,0.038,0.3,0.0,0.07,0.0,42.4,91.85,0.22
white sugar ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,0.73,0,0.0,0.0,1.1,0.023,0,52.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0,0.08,0,0,11.0,0.105,15.0,163.0,10.9,0.0,0.439,20.0,166.0,0.71,0,0.004,0.17,0.0,0.09,0.0,0.005,0.0,0.0,0.0,0.0,0.0,87.57,0.03
"Potatoes, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
Apple juice ,0.0,0.0,0.001,0.018,0.0,0.002,0.005,0.033,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,11.3,0,0.0,0.0,1.8,0.012,0,46.0,0.006,0.039,0.022,0.2,0.0,0.0,0.0,0,0.12,16,0,5.0,0.073,7.0,101.0,0.1,0.0,0.017,0.1,4.0,9.62,0,0.021,0.13,0.0,0.0,0.0,0.018,0.9,0.0,0.01,0.0,0.0,88.24,0.02
rice long grain ,0.0,0.0,0.011,0.223,0.051,0.074,0.38,0.272,0.02,0.0,0.003,0.008,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0,18.0,7.94,368,789.0,5.0,6.8,0.03,0,52.0,0.446,0.308,0.338,0.9,4.0,4.0,4.0,0,0.29,38,0,8.0,0.648,34.0,91.0,2.27,0.0,0.04,3.0,19.0,1.66,0,0.022,1.24,81.0,0.02,0.0,0.052,0.2,0.0,0.14,0.0,1.5,88.22,0.4
"carrots, whole, fresh ",0.412,0.255,2.683,7.491,0.822,2.88,5.925,0.566,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.177,0.203,0.0,0,575.0,2.47,0,63.0,89.0,15.0,0.022,0,318.0,7.027,0.778,15.561,0.0,8.0,8.0,8.0,0,0.2,0,0,21.0,0.094,412.0,75.0,21.6,192.0,0.27,16.1,710.0,1.01,0,0.016,24.64,197.0,0.73,0.0,0.062,0.0,0.5,0.21,0.0,2.5,48.38,2.46
"Onions, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
"Cucumbers, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Potatoes, canned",0.001,0.007,0.001,0.031,0.002,0.007,0.002,0.063,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,13.6,0,1.0,0.0,9.2,0.057,0,62.0,0.005,0.085,0.051,2.4,6.0,6.0,6.0,0,1.26,6,0,14.0,0.92,28.0,229.0,1.4,0.0,0.01,0.9,5.0,0.59,0,0.07,0.2,0.0,0.0,0.0,0.19,5.1,0.0,0.05,0.0,1.5,84.3,0.28
Grape juice ,0.0,0.0,0.001,0.021,0.0,0.003,0.003,0.017,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,14.77,0,5.0,0.0,3.2,0.018,0,60.0,0.003,0.022,0.025,0.2,0.0,0.0,0.0,0,0.25,57,0,10.0,0.133,14.0,104.0,0.37,0.0,0.015,0.0,5.0,14.2,0,0.017,0.13,0.0,0.0,0.0,0.032,25.0,0.0,0.0,0.0,0.4,84.51,0.07
Orange juice,0.0,0.0,0.001,0.021,0.005,0.001,0.032,0.029,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,10.4,6,33.0,0.0,6.2,0.044,169,45.0,0.036,0.04,0.024,0.2,30.0,30.0,30.0,0,0.2,115,0,11.0,0.4,17.0,200.0,0.7,0.0,0.03,0.1,1.0,8.4,0,0.09,0.2,10.0,0.0,0.0,0.04,50.0,0.0,0.04,0.0,0.1,88.3,0.05
"Sweet potatoes, fresh ",0.0,0.0,0.0,0.036,0.0,0.005,0.088,0.073,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177.0,2.65,0,3142.0,0.0,11.4,0.385,46,23.0,0.088,0.389,0.041,1.6,68.0,68.0,68.0,0,3.17,5650,0,64.0,0.902,56.0,295.0,3.15,0.0,0.076,0.3,4.0,0.3,0,0.034,0.64,264.0,0.0,0.0,0.155,18.0,0.0,0.8,0.0,414.8,92.06,0.81
"Great northern beans, canned",0.11,0.161,0.733,2.027,0.159,0.921,2.101,0.167,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.134,0.054,0.0,0,261.0,10.04,0,12.0,29.0,31.8,0.016,0,134.0,2.335,0.245,4.591,0.0,8.0,8.0,8.0,0,0.19,0,0,24.0,0.194,203.0,303.0,6.81,64.0,0.316,2.3,106.0,10.04,0,0.047,7.56,65.0,0.16,0.0,0.05,1.9,2.0,0.14,0.0,0.5,74.04,0.77
"Green beans, canned",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"Kidney beans, canned ",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
applesauce,0.0,0.0,0.0,0.028,0.0,0.004,0.008,0.048,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,10.8,0,12.0,0.0,3.4,0.038,9,41.0,0.008,0.056,0.032,1.7,2.0,2.0,2.0,0,0.22,17,0,3.0,0.061,7.0,71.0,0.2,0.0,0.028,0.3,0.0,9.87,0,0.012,0.2,1.0,0.0,0.0,0.031,38.3,0.0,0.6,0.0,0.5,88.6,0.02
"Tomatoes, canned ",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"Pinto beans, canned ",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"corn, canned ",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"Grapefruit, juice",0.0,0.0,0.0,0.008,0.001,0.001,0.009,0.014,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.0,7.93,2,20.0,0.0,7.7,0.031,1,34.0,0.01,0.018,0.009,0.8,10.0,10.0,10.0,0,0.11,10,0,8.0,0.231,15.0,129.0,0.58,0.0,0.02,0.1,3.0,7.2,0,0.042,0.1,2.0,0.0,0.0,0.02,28.3,0.0,0.04,0.0,0.0,91.2,0.08
"Navy beans, canned",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"Tomatoes, Roma and plum",0.013,0.062,0.019,0.884,0.0,0.976,7.559,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0,9.0,11.38,0,9.0,0.0,0.0,0.0,0,136.0,7.551,0.027,1.937,0.0,0.0,0.0,0.0,0,0.03,0,0,0.0,0.0,64.0,191.0,1.0,0.0,0.0,1.1,67.0,11.38,0,0.0,9.97,1.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,2.5,77.27,0.02
acorn squash ,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.0,5.73,242,896.0,0.0,7.6,0.03,9,28.0,0.02,0.04,0.02,0.9,8.0,8.0,8.0,0,0.32,3527,0,14.0,0.683,21.0,185.0,0.81,0.0,0.048,0.2,5.0,3.37,0,0.029,0.2,85.0,0.0,0.0,0.07,0.3,0.0,0.55,0.0,4.7,92.66,0.19
Honeydew,0.0,0.002,0.002,0.032,0.0,0.003,0.003,0.026,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,9.09,0,30.0,0.0,7.6,0.024,0,36.0,0.003,0.059,0.038,0.8,19.0,19.0,19.0,0,0.17,27,0,10.0,0.418,11.0,228.0,0.54,0.0,0.012,0.7,18.0,8.12,0,0.038,0.14,3.0,0.0,0.0,0.088,18.0,0.0,0.02,0.0,2.9,89.82,0.09
"beets, canned ",0.0,0.0,0.0,0.021,0.0,0.001,0.027,0.045,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,7.21,0,15.0,0.0,7.5,0.059,0,31.0,0.027,0.049,0.022,1.8,30.0,30.0,30.0,0,1.82,0,0,17.0,0.157,17.0,148.0,0.91,0.0,0.04,0.5,194.0,5.51,0,0.01,0.14,1.0,0.0,0.0,0.057,4.1,0.0,0.03,0.0,0.2,90.96,0.21
red cabbage ,0.03,0.03,0.09,2.36,0.24,0.49,2.51,7.71,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,148.0,56.63,0,21840.0,0.0,51.5,0.373,6252,318.0,2.75,8.37,3.26,27.2,106.0,106.0,106.0,0,7.8,13157,0,152.0,8.701,293.0,2014.0,12.01,0.0,0.919,8.8,30.0,10.34,0,0.328,17.27,2081.0,0.0,0.0,2.45,76.4,0.0,29.83,0.0,80.3,8.05,2.48
butternut squash,0.0,0.0,0.0,0.088,0.0,0.006,0.166,0.262,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.0,9.26,362,1476.0,0.0,12.5,0.1,38,50.0,0.166,0.28,0.095,2.0,23.0,23.0,23.0,0,0.4,970,0,26.0,0.56,35.0,352.0,2.0,0.0,0.06,0.6,5.0,2.93,0,0.06,0.6,140.0,0.0,0.0,0.11,4.9,0.0,0.08,0.0,2.4,87.3,0.3
"black beans, canned",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"carrots, canned",0.0,0.002,0.001,0.027,0.002,0.001,0.007,0.079,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0,5.54,2743,5331.0,0.0,6.3,0.104,0,25.0,0.009,0.092,0.036,1.5,9.0,9.0,9.0,0,0.64,0,0,8.0,0.552,24.0,179.0,0.64,0.0,0.03,0.4,242.0,2.48,0,0.018,0.19,558.0,0.0,0.0,0.112,2.7,0.0,0.74,0.0,9.8,92.95,0.26
"cauliflower, frozen ",0.0,0.0,0.0,0.036,0.0,0.005,0.019,0.029,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.0,4.68,0,7.0,0.0,41.9,0.031,0,24.0,0.019,0.128,0.041,2.3,64.0,64.0,64.0,0,0.54,31,0,12.0,0.429,35.0,193.0,2.01,0.0,0.07,0.8,24.0,2.22,0,0.051,0.27,1.0,0.0,0.0,0.123,48.8,0.0,0.07,0.0,14.8,92.51,0.17
Pineapple juice,0.0,0.0,0.0,0.005,0.002,0.003,0.012,0.024,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,12.87,0,3.0,0.0,3.3,0.069,0,53.0,0.014,0.042,0.008,0.2,18.0,18.0,18.0,0,0.31,0,0,12.0,0.199,8.0,130.0,0.36,0.0,0.021,0.1,2.0,9.98,0,0.058,0.12,0.0,0.0,0.0,0.1,10.0,0.0,0.02,0.0,0.3,86.37,0.11
Grapefruit,0.0,0.0,0.0,0.012,0.001,0.001,0.012,0.019,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,8.08,4,552.0,0.0,7.7,0.047,6,32.0,0.013,0.024,0.014,1.1,10.0,10.0,10.0,0,0.09,6,1135,8.0,0.25,8.0,139.0,0.63,0.0,0.02,0.3,0.0,6.98,0,0.036,0.1,46.0,0.0,0.0,0.042,34.4,0.0,0.13,0.0,0.0,90.89,0.07
"Turnip greens, canned ",0.002,0.002,0.003,0.054,0.014,0.01,0.005,0.036,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,118.0,2.81,0,3573.0,0.0,0.3,0.083,0,19.0,0.02,0.12,0.07,1.3,92.0,92.0,92.0,0,1.51,6591,0,20.0,0.36,21.0,141.0,1.36,0.0,0.06,0.7,29.0,0.42,0,0.01,0.3,298.0,0.0,0.0,0.04,15.5,0.0,1.47,0.0,287.0,94.69,0.23
"Mustard greens, canned",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"collard greens, fresh ",0.1,0.2,1.3,23.8,2.7,13.5,41.2,10.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,95.0,49.7,0.0,0,902.0,45.1,11.2,39.2,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.0,0.0,0.11
"blackeye peas, canned",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"Green peas, canned",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
Oranges,0.0,0.0,0.0,0.013,0.003,0.0,0.02,0.018,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40.0,11.75,11,71.0,0.0,8.4,0.045,116,47.0,0.023,0.025,0.015,2.4,30.0,30.0,30.0,0,0.1,129,0,10.0,0.282,14.0,181.0,0.94,0.0,0.04,0.5,0.0,9.35,0,0.087,0.12,11.0,0.0,0.0,0.06,53.2,0.0,0.18,0.0,0.0,86.75,0.07
"Mangoes, fresh ",0.006,0.0,0.033,2.231,0.201,0.811,3.411,1.555,0.048,0.0,0.027,0.188,0.0,0.0,0.007,0.058,0.004,0.0,0.004,0.0,0,56.0,0.72,0,0.0,372.0,293.8,0.072,9,143.0,3.658,1.911,3.126,0.0,47.0,47.0,47.0,0,1.75,503,0,12.0,0.075,198.0,138.0,12.56,160.0,0.457,30.7,142.0,0.37,0,0.04,9.51,160.0,0.89,0.0,0.17,0.0,2.0,1.05,0.0,0.3,76.15,1.29
spaghetti ,0.007,0.01,0.044,0.306,0.03,0.142,0.451,0.165,0.019,0.0,0.007,0.001,0.0,0.0,0.0,0.0,0.013,0.005,0.003,0.0,0,15.0,11.42,304,601.0,5.0,7.7,0.03,0,68.0,0.497,0.185,0.543,1.1,44.0,3.0,27.0,24,0.53,0,1030,11.0,0.967,35.0,122.0,2.57,0.0,0.068,8.4,30.0,2.72,0,0.048,1.37,63.0,0.03,0.0,0.064,0.2,0.0,0.07,0.0,0.8,84.17,0.53
"Lettuce, iceberg",0.0,0.0,0.0,0.016,0.001,0.002,0.004,0.021,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.0,2.97,4,299.0,0.0,6.7,0.025,0,14.0,0.006,0.074,0.018,1.2,29.0,29.0,29.0,0,0.41,277,0,7.0,0.123,20.0,141.0,0.9,0.0,0.025,0.1,10.0,1.97,0,0.041,0.14,25.0,0.0,0.0,0.042,2.8,0.0,0.18,0.0,24.1,95.64,0.15
"Pinto beans, dried ",0.0,0.0,0.003,0.096,0.016,0.005,2.216,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1246.0,52.1,31,3407.0,0.0,97.1,1.786,175,279.0,2.232,0.328,0.115,10.4,274.0,274.0,274.0,0,42.46,2428,0,694.0,10.707,481.0,4466.0,21.93,0.0,1.5,29.3,211.0,7.27,0,1.252,4.78,293.0,0.0,0.0,0.61,566.7,0.0,1.03,0.0,1359.5,7.3,4.72
Green peppers,0.0,0.0,0.003,0.108,0.003,0.02,0.099,0.321,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,8.77,0,483.0,0.0,13.0,0.198,6,41.0,0.102,0.337,0.133,1.4,14.0,14.0,14.0,0,0.76,30,18454,21.0,1.095,38.0,398.0,0.94,0.0,0.12,0.6,368.0,7.36,0,0.067,0.74,41.0,0.0,0.0,0.194,13.2,0.0,1.18,0.0,3.7,88.28,0.28
"Clementines, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
